bestand,url,titel,regel,soort,ernst,citaat,context,uitleg,voorstel
0001_bsn_bsn-op-nederlands-paspoort.txt,https://www.nederlandwereldwijd.nl/bsn/bsn-op-nederlands-paspoort,Waar vind ik mijn burgerservicenummer (BSN) op een Nederlands paspoort? | NederlandWereldwijd,3,lange-zin,advies,"In paspoorten met een afgiftedatum van 2014 of later staat uw BSN bovenaan op pagina 1, op de achterkant van de houderpa...","In paspoorten met een afgiftedatum van 2014 of later staat uw BSN bovenaan op pagina 1, op de achterkant van de houderpa...",Zin van 22 woorden; boven de 20 wordt een zin lastig te volgen.,Knip de zin in tweeën.
0001_bsn_bsn-op-nederlands-paspoort.txt,https://www.nederlandwereldwijd.nl/bsn/bsn-op-nederlands-paspoort,Waar vind ik mijn burgerservicenummer (BSN) op een Nederlands paspoort? | NederlandWereldwijd,4,lange-zin,advies,Bij paspoorten met een afgiftedatum vanaf 30 augustus 2021 vindt u uw BSN ook in een QR-code op de achterkant van de hou...,Bij paspoorten met een afgiftedatum vanaf 30 augustus 2021 vindt u uw BSN ook in een QR-code op de achterkant van de hou...,Zin van 23 woorden; boven de 20 wordt een zin lastig te volgen.,Knip de zin in tweeën.
0003_digid-buiten-nederland_inloggen-id-kaart.txt,https://www.nederlandwereldwijd.nl/digid-buiten-nederland/inloggen-id-kaart,Inloggen via DigiD met identiteitsbewijs vanuit het buitenland | NederlandWereldwijdTelefoon,28,lijdende-vorm,advies,wordt niet verstuurd,"De brief wordt niet verstuurd naar een Nederlandse ambassade, consulaat-generaal of VFS Global.",Lijdende vorm: de lezer ziet niet wie er iets doet.,"Schrijf actief, bijvoorbeeld 'wij sturen' of 'u ontvangt'."
0003_digid-buiten-nederland_inloggen-id-kaart.txt,https://www.nederlandwereldwijd.nl/digid-buiten-nederland/inloggen-id-kaart,Inloggen via DigiD met identiteitsbewijs vanuit het buitenland | NederlandWereldwijdTelefoon,43,lijdende-vorm,advies,worden geen gegevens,Er worden geen gegevens opgeslagen.,Lijdende vorm: de lezer ziet niet wie er iets doet.,"Schrijf actief, bijvoorbeeld 'wij sturen' of 'u ontvangt'."
0003_digid-buiten-nederland_inloggen-id-kaart.txt,https://www.nederlandwereldwijd.nl/digid-buiten-nederland/inloggen-id-kaart,Inloggen via DigiD met identiteitsbewijs vanuit het buitenland | NederlandWereldwijdTelefoon,58,lijdende-vorm,advies,worden geen gegevens,Er worden geen gegevens opgeslagen.,Lijdende vorm: de lezer ziet niet wie er iets doet.,"Schrijf actief, bijvoorbeeld 'wij sturen' of 'u ontvangt'."
0006_paspoort-id-kaart.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart,Nederlands paspoort of ID-kaart aanvragen in het buitenland | NederlandWereldwijd,1,lange-zin,advies,U vindt hier alles over het aanvragen of vernieuwen van een Nederlands paspoort of ID-kaart als u in het buitenland woon...,U vindt hier alles over het aanvragen of vernieuwen van een Nederlands paspoort of ID-kaart als u in het buitenland woon...,Zin van 21 woorden; boven de 20 wordt een zin lastig te volgen.,Knip de zin in tweeën.
0008_paspoort-id-kaart_aanvragen.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen,Voor het eerst een Nederlands paspoort of ID-kaart aanvragen vanuit het buitenland | NederlandWereldwijd,6,lange-zin,advies,Let op: Het aanvragen van een Nederlands paspoort of ID-kaart in het buitenland kost vaak meer tijd dan u misschien verw...,Let op: Het aanvragen van een Nederlands paspoort of ID-kaart in het buitenland kost vaak meer tijd dan u misschien verw...,Zin van 21 woorden; boven de 20 wordt een zin lastig te volgen.,Knip de zin in tweeën.
0008_paspoort-id-kaart_aanvragen.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen,Voor het eerst een Nederlands paspoort of ID-kaart aanvragen vanuit het buitenland | NederlandWereldwijd,39,lijdende-vorm,advies,worden door geboorte,"Nederlander worden door geboorte, erkenning of adoptie",Lijdende vorm: de lezer ziet niet wie er iets doet.,"Schrijf actief, bijvoorbeeld 'wij sturen' of 'u ontvangt'."
0009_paspoort-id-kaart_aanvragen-grensgemeente.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-grensgemeente,Paspoort of ID-kaart aanvragen bij een grensgemeente in Nederland | NederlandWereldwijd,1,lange-zin,advies,"Als u in het buitenland woont, kunt u uw paspoort of identiteitskaart (ID-kaart) aanvragen bij een van de 15 grensgemeen...","Als u in het buitenland woont, kunt u uw paspoort of identiteitskaart (ID-kaart) aanvragen bij een van de 15 grensgemeen...",Zin van 22 woorden; boven de 20 wordt een zin lastig te volgen.,Knip de zin in tweeën.
0009_paspoort-id-kaart_aanvragen-grensgemeente.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-grensgemeente,Paspoort of ID-kaart aanvragen bij een grensgemeente in Nederland | NederlandWereldwijd,32,lange-zin,advies,De tarieven voor paspoorten en identiteitskaarten zijn bij de 15 grensgemeenten lager dan bij de Nederlandse ambassades ...,De tarieven voor paspoorten en identiteitskaarten zijn bij de 15 grensgemeenten lager dan bij de Nederlandse ambassades ...,Zin van 22 woorden; boven de 20 wordt een zin lastig te volgen.,Knip de zin in tweeën.
0010_paspoort-id-kaart_aanvragen-in-de-buurt.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/aanvragen-in-de-buurt,Buiten Nederland een paspoort of ID-kaart aanvragen bij u in de buurt | NederlandWereldwijd,53,lange-zin,advies,"Deze sessie is in de eerste plaats bedoeld voor een beperkte groep aanvragers, namelijk personen van 65 jaar en ouder en...","Deze sessie is in de eerste plaats bedoeld voor een beperkte groep aanvragers, namelijk personen van 65 jaar en ouder en...",Zin van 25 woorden; boven de 20 wordt een zin lastig te volgen.,Knip de zin in tweeën.
0014_paspoort-id-kaart_buitenland_paspoort-albanie.txt,https://www.nederlandwereldwijd.nl/paspoort-id-kaart/buitenland/paspoort-albanie,Paspoort of ID-kaart aanvragen als u in Albanië woont | NederlandWereldwijd,11,lange-zin,advies,In uw persoonlijke checklist (uit stap 1) ziet u dat u documenten uit Albanië nodig heeft om een paspoort of ID-kaart aa...,In uw persoonlijke checklist (uit stap 1) ziet u dat u documenten uit Albanië nodig heeft om een paspoort of ID-kaart aa...,Zin van 24 woorden; boven de 20 wordt een zin lastig te volgen.,Knip de zin in tweeën.
